id,path
28160,12 17 35 53 54 25 43 66 50 9 4
30174,14 8 49 49 65 75 76 66 50 9 4
30175,14 8 49 49 65 75 76 66 50 9 11
63682,1 2 24 25 34 18 16 9 11
63169,1 8 49 35 53 54 34 6 11
21506,12 17 15 33 24 58 24 25 43 9 4
2186,1 8 17 49 63 24 25 55 9 4
40715,14 8 21 19 17 33 24 25 26
63681,1 2 24 25 34 18 16 9 4
63566,1 8 61 53 54 34 6 9 11
16303,1 8 56 24 25 109 9 4
49776,12 35 53 24 24 25 34 50 50 9 4
10540,1 8 21 17 49 5 24 42 43 67 25 6 11
21505,12 17 15 33 24 58 24 25 43 9 11
52529,1 8 49 15 65 66 50 9 4
16977,1 8 82 86 42 43 25 34 16 9 11
62468,14 8 49 33 24 42 43 67 43 66 50 18 9 11
10541,1 8 21 17 49 5 24 42 43 67 25 6 7
29011,1 8 15 53 54 25 54 36 9 4
31587,14 8 65 75 42 43 29 7
16302,1 8 56 24 25 109 9 11
49775,12 35 53 24 24 25 34 50 50 9 11
52530,1 8 49 15 65 66 50 9 11
63565,1 8 61 53 54 34 6 9 4
57551,12 15 33 53 54 36 6 9 11
41579,1 8 17 49 5 24 58 24 25 34 9 4
40015,1 8 49 17 5 24 53 24 25 29 7
62487,14 8 49 33 24 42 43 67 43 66 50 18 9 4
20720,1 8 49 42 43 25 34 16 50 9 11
18526,14 8 5 17 18 16 6 7
65096,1 8 49 49 24 24 24 25 34 7
59515,1 5 33 24 25 43 66 83 7
60110,1 8 49 49 19 15 33 24 53 24 25 34 50 50 9 11
38397,12 77 24 92 24 25 54 34 9 11
60113,1 8 49 49 19 15 33 24 53 24 25 34 50 50 9 4
18525,14 8 5 17 18 16 6 11
29010,1 8 15 53 54 25 54 36 9 11
46375,14 8 56 42 53 24 25 54 25 34 7
54365,1 8 63 24 96 97 62 7
13609,1 8 33 24 42 24 42 24 53 24 25 43 25 34 6 11
46934,1 8 49 33 53 24 25 59 36 9 11
5169,1 8 57 24 70 42 24 25 43 9 11
19557,1 8 17 49 15 16 20 18 20 47 48
38398,12 77 24 92 24 25 54 34 9 4
46933,1 8 49 33 53 24 25 59 36 9 4
24554,1 8 15 19 21 15 16 18 9 11
34611,1 8 77 24 70 42 24 25 34 34 9 11
8076,12 21 33 24 25 6 11
64402,14 2 24 24 25 43 34 105 16 9 4
8077,12 21 33 24 25 6 7
