id,token
1728,sumxx
861,theelementinthelistaret
556,nosolution
1326,hashtable
656,intnm
388,menor
968,concatlists
1681,cones
1136,entersymbolformultiplication
1250,newranges
744,enterqueuesize
1450,!
606,#
1703,cde
841,(
1731,enternumberofrowsandcolumnsoffstmatrix
442,*
448,+
534,-
1455,qstar
1067,enterthenumberofpersons
1451,.
14,0
30,500000
972,theelementdisnotpresentinthearray
44,1
334,lint
92,2
188,3
273,ieleinarray
55,size
189,4
84,left
108,5
1430,temper
190,6
668,structtnode
102,7
185,8
101,9
449,=
1452,?
1016,insidefunc
1680,rones
315,intnum
225,1000
1022,roll
1603,turn
424,longdouble
65,result
1239,constull
843,[
1117,multiplication
1119,modulus
353,_
35,a
36,b
112,c
704,balancedcount
22,d
1310,indexarray
62,e
888,nothingtoprint
49,f
555,g
284,h
547,borrower
97,i
227,1010
86,j
72,k
1711,union
124,l
18,m
19,n
105,o
1133,displayavailableoption
104,p
60,q
107,r
583,numberofprimes
1393,component
155,s
71,t
766,lthread
1397,jindex
106,u
393,memcpy
454,v
61,w
125,1010101
340,inlinelint
1206,1001
53,x
54,y
113,fifth
182,z
842,{
1056,imag
318,checkprime
927,numberisnotprime
1662,rone
275,idoinsertionsort
966,firstlistis
121,thecodeneverrunsthisstatement
1465,tid
794,empty
181,strlen
391,lact
1323,quicksort
314,searchlocation
1033,86.50
233,check
258,insertionsort
706,chr
970,list
1184,axyzbxyzc
954,entertheelementnod
1135,entersymbolforsubtraction
812,noofnodesd
1456,chx
671,createexpressiontree
677,eval
541,labs
989,makedarray
833,delatpos
1364,binarysearchtree
499,cid
1466,child
1088,enterthenumber
913,arjit
1339,cannotinsert
560,argv
879,remove
1082,nddistance
1353,enterthetablesze
74,divider
725,topheap
412,root
1578,multiply
559,argc
727,enterleftchildofd
337,pcx
1536,grp
1013,structs
819,enteremployeessalary
1555,srrc
1281,peak
1547,enteranintegerindecimalnumbersystem
500,tleft
971,theelementdispresentatdthposition
585,numberoftests
684,vertexreachablefromdusingdfsare
791,625
1127,welcometoccalculator
319,isneitherprimenorcomposite
804,desig
1299,mult
1659,multiplicationoftwomatrices
263,imid
316,sortadd
771,tmp
537,ydiff
1269,cmpfn
1110,cls
1604,structxyz
154,sarr
673,preorder
696,hash
390,saux
480,cmp
